TOKEN           LINE  COLUMN	LEXEME
93 84 75 52 
Matching )
32 
Matching ;
36 45 
Matching read

Matching (
48 108 
Matching choice
47 
Matching )
32 
Matching ;
39 56 
Matching if
111 73 82 87 91 104 
Matching not
105 
Matching (
73 82 87 91 103 
Matching false
93 84 75 
Matching )
factorRec is of type BOOLEAN
93 84 75 
Matching then
37 50 
Matching writeln

Matching (
53 112 73 82 87 91 106 110 
Matching factorial
68 
Matching (
112 73 82 87 91 116 108 
Matching choice
93 84 75 71 
Matching )
Param--> False
93 84 75 52 
Matching )
57 
Matching else
37 50 
Matching writeln

Matching (
53 112 73 82 87 91 101 
Matching "-1"
93 84 75 52 
Matching )
32 
Matching ;
43 67 109 
Matching listnum
68 
Matching (
72 112 73 82 87 91 99 
Matching 100
92 96 
Matching div
99 
Matching 2
2 of Type INTEGER
93 84 75 71 
Matching )
Param--> False
32 
Matching ;
43 67 109 
Matching listnum
68 
Matching (
112 73 82 87 91 106 110 
Matching factorial
68 
Matching (
72 112 73 82 87 91 99 
Matching 9
92 96 
Matching div
99 
Matching 3
3 of Type INTEGER
93 84 75 71 
Matching )
Param--> False
93 84 75 71 
Matching )
Param--> False
32 
Matching ;
38 54 108 
Matching otherthing

Matching :=
73 82 87 91 99 
Matching 5
92 97 
Matching mod
99 
Matching 2
2 of Type INTEGER
93 84 75 32 
Matching ;
37 50 
Matching writeln

Matching (
53 112 73 82 86 
Matching -
91 116 108 
Matching otherthing
93 84 75 52 
Matching )
32 
Matching ;
38 54 108 
Matching bob

Matching :=
73 82 87 91 102 
Matching true
93 84 75 32 
Matching ;
38 54 108 
Matching fred

Matching :=
73 82 87 91 103 
Matching false
93 84 75 32 
Matching ;
37 50 
Matching writeln

Matching (
53 112 73 82 87 91 116 108 
Matching bob
93 84 75 51 
Matching ,
53 112 73 82 87 91 116 108 
Matching fred
93 84 75 52 
Matching )
32 
Matching ;
38 54 108 
Matching fred

Matching :=
73 82 87 91 116 108 
Matching fred
92 98 
Matching and
116 108 
Matching bob
bob of Type BOOLEAN
93 84 75 32 
Matching ;
37 50 
Matching writeln

Matching (
53 112 73 82 87 91 116 108 
Matching fred
93 84 75 52 
Matching )
32 
Matching ;
38 54 108 
Matching fred

Matching :=
73 82 87 91 116 108 
Matching fred
93 83 90 
Matching or
91 116 108 
Matching bob
93 84 75 32 
Matching ;
37 50 
Matching writeln

Matching (
53 112 73 82 87 91 116 108 
Matching fred
93 84 75 52 
Matching )
32 
Matching ;
37 50 
Matching writeln

Matching (
53 112 73 82 86 
Matching -
91 105 
Matching (
73 82 87 91 99 
Matching 1
93 83 88 
Matching +
91 99 
Matching 2
93 84 75 
Matching )
factorRec is of type INTEGER
93 84 75 52 
Matching )
32 
Matching ;
38 54 108 
Matching otherthing

Matching :=
73 82 87 91 99 
Matching 15
92 94 
Matching *
99 
Matching 15
15 of Type INTEGER
92 96 
Matching div
99 
Matching 5
5 of Type INTEGER
93 83 88 
Matching +
91 99 
Matching 1
93 83 89 
Matching -
91 99 
Matching 2
92 94 
Matching *
99 
Matching 2
2 of Type INTEGER
93 84 75 32 
Matching ;
37 50 
Matching writeln

Matching (
53 112 73 82 87 91 101 
Matching "From *main* otherthing is: "
93 84 75 51 
Matching ,
53 112 73 82 87 91 116 108 
Matching otherthing
93 84 75 52 
Matching )
32 
Matching ;
43 67 109 
Matching scopetest
69 32 
Matching ;
37 50 
Matching writeln

Matching (
53 112 73 82 87 91 101 
Matching "From *main* otherthing still is: "
93 84 75 51 
Matching ,
53 112 73 82 87 91 116 108 
Matching otherthing
93 84 75 52 
Matching )
32 
Matching ;
38 54 108 
Matching floatmathtest

Matching :=
73 82 87 91 105 
Matching (
73 82 87 91 100 
Matching 7.0
92 94 
Matching *
100 
Matching 2.1
2.1 of Type FLOAT
93 83 89 
Matching -
91 100 
Matching 0.6
92 95 
Matching /
99 
Matching 13
13 of Type INTEGER
93 84 75 
Matching )
factorRec is of type FLOAT
92 94 
Matching *
105 
Matching (
73 82 87 91 106 110 
Matching factorial
68 
Matching (
72 112 73 82 87 91 99 
Matching 13
93 83 89 
Matching -
91 99 
Matching 11
93 84 75 71 
Matching )
Param--> False
93 84 75 
Matching )
factorRec is of type INTEGER
factorial of Type INTEGER
93 84 75 32 
Matching ;
37 50 
Matching writeln

Matching (
53 112 73 82 87 91 116 108 
Matching floatmathtest
93 84 75 52 
Matching )
32 
Matching ;
37 50 
Matching writeln

Matching (
53 112 73 82 87 91 106 110 
Matching retstring
68 
Matching (
72 112 73 82 87 91 100 
Matching 0.001
93 84 75 70 
Matching ,
72 112 73 82 87 91 100 
Matching 1.23
93 84 75 70 
Matching ,
72 112 73 82 87 91 101 
Matching "String as input argument"
93 84 75 71 
Matching )
Param--> False
Param--> False
Param--> False
93 84 75 52 
Matching )
32 
Matching ;
37 50 
Matching writeln

Matching (
53 112 73 82 87 91 101 
Matching "X starts at "
93 84 75 51 
Matching ,
53 112 73 82 87 91 116 108 
Matching otherthing
93 84 75 52 
Matching )
32 
Matching ;
43 67 109 
Matching refcheck
68 
Matching (
108 
Matching otherthing
71 
Matching )
Param--> True
32 
Matching ;
37 50 
Matching writeln

Matching (
53 112 73 82 87 91 101 
Matching "X is now "
93 84 75 51 
Matching ,
53 112 73 82 87 91 116 108 
Matching otherthing
93 84 75 51 
Matching ,
53 112 73 82 87 91 101 
Matching " in main"
93 84 75 52 
Matching )
32 
Matching ;
37 50 
Matching writeln

Matching (
53 112 73 82 87 91 101 
Matching "floatMathTest start: "
93 84 75 51 
Matching ,
53 112 73 82 87 91 116 108 
Matching floatmathtest
93 84 75 52 
Matching )
32 
Matching ;
43 67 109 
Matching refcheck2
68 
Matching (
72 112 73 82 87 91 99 
Matching 10
92 96 
Matching div
99 
Matching 3
3 of Type INTEGER
93 84 75 70 
Matching ,
112 73 82 87 91 116 108 
Matching floatmathtest
93 84 75 70 
Matching ,
108 
Matching floatmathtest
71 
Matching )
Param--> False
Param--> True
Param--> True
32 
Matching ;
37 50 
Matching writeln

Matching (
53 112 73 82 87 91 101 
Matching "floatMathTest is now "
93 84 75 51 
Matching ,
53 112 73 82 87 91 116 108 
Matching floatmathtest
93 84 75 51 
Matching ,
53 112 73 82 87 91 101 
Matching " in main"
93 84 75 52 
Matching )
32 
Matching ;
38 54 108 
Matching otherthing

Matching :=
73 82 87 91 99 
Matching 5
93 84 75 32 
Matching ;
41 59 
Matching repeat
31 35 30 
Matching begin
31 37 49 
Matching write

Matching (
53 112 73 82 87 91 116 108 
Matching otherthing
93 84 75 51 
Matching ,
53 112 73 82 87 91 101 
Matching " "
93 84 75 52 
Matching )
32 
Matching ;
38 54 108 
Matching otherthing

Matching :=
73 82 87 91 116 108 
Matching otherthing
93 83 89 
Matching -
91 99 
Matching 3
93 84 75 32 
Matching ;
34 44 33 
Matching end
32 
Matching ;
34 44 33 
Matching until
111 73 82 87 91 105 
Matching (
73 82 87 91 116 108 
Matching otherthing
93 84 74 77 
Matching <
82 87 91 99 
Matching 0
93 84 
Matching )
factorRec is of type BOOLEAN
93 84 75 32 
Matching ;
42 61 
Matching for
62 108 
Matching otherthing

Matching :=
63 112 73 82 87 91 105 
Matching (
73 82 86 
Matching -
91 99 
Matching 5
93 84 75 
Matching )
factorRec is of type INTEGER
93 84 75 64 
Matching to
66 112 73 82 87 91 105 
Matching (
73 82 87 91 116 108 
Matching otherthing
93 83 88 
Matching +
91 99 
Matching 20
93 84 75 
Matching )
factorRec is of type INTEGER
93 84 75 
Matching do
37 50 
Matching writeln

Matching (
53 112 73 82 87 91 101 
Matching "otherthing is "
93 84 75 51 
Matching ,
53 112 73 82 87 91 116 108 
Matching otherthing
93 84 75 52 
Matching )
32 
Matching ;
38 54 108 
Matching booleanvalue

Matching :=
73 82 87 91 102 
Matching true
93 84 75 32 
Matching ;
37 50 
Matching writeln

Matching (
53 112 73 82 87 91 99 
Matching 5
93 83 88 
Matching +
91 100 
Matching 6.5
93 84 75 52 
Matching )
32 
Matching ;
37 50 
Matching writeln

Matching (
53 112 73 82 87 91 101 
Matching "Thank you for using this!"
93 84 75 52 
Matching )
32 
Matching ;
34 44 33 
Matching end

Matching .

Matching EOF

The input program parses!
